ticker,return_total,return_annualized,return_mean_daily,volatility_annual,downside_dev_annual,max_drawdown,var_95,cvar_95,sharpe_ratio,sortino_ratio,calmar_ratio,beta,alpha_annual,r_squared,correlation_spy,skewness,kurtosis,positive_return_ratio,gain_loss_ratio,vol_of_vol,momentum_6m,segmento,segmento_nombre,pca_1,pca_2,return_annualized_norm,momentum_6m_norm,sharpe_ratio_norm,beta_norm,score_compuesto,peso
ALL,3.362106575257089,0.1200113679225223,0.0005583457564024,0.2328734603463729,0.1856276878853269,-0.416819303973879,-0.0202407593568342,-0.0344063427245124,0.3894953528775426,0.4886293184315132,0.3375638538618222,0.8611922957952091,0.0325311413363219,0.4119734884476864,0.6418516093675285,-0.6493571946831103,10.771575812344125,0.5271838729383018,0.9933795233199588,0.0072928341318653,0.2666726993032302,1,Alto Rendimiento,1.058592179651272,0.9617740132119872,0.5876587528077547,0.12102620663811307,0.8319972781776837,0.8002530461643965,0.52683862643368,0.1
HON,3.1224702691425,0.115115391292399,0.0005373838663122,0.2297990127102862,0.171882944589196,-0.4331556997219647,-0.0205521371450138,-0.033443858220426,0.3717193268291841,0.4969703917677006,0.3126375444155601,1.0417817735132175,0.0151558487794472,0.6189202682859442,0.7867148583101403,0.0407857831805518,10.275038961741508,0.526412213740458,0.9968177457167752,0.0070965792954168,0.0067767247528789,1,Alto Rendimiento,0.8941754766601913,0.9892521546847904,0.5830858828760169,0.08685705405490335,0.8278318312141136,0.8364722334679516,0.5216063965987843,0.1
IVV,2.7859067850348764,0.1078684355955565,0.0004677438099857,0.1750507598632355,0.1436988851920911,-0.3390314228551253,-0.0167942243514478,-0.0269112067301349,0.3877243387542829,0.4723170957497677,0.3476711365682954,1.0045255215703188,1.7549464254501546e-05,0.9919800541929468,0.9959819547526686,-0.5107803815507378,12.674437394140195,0.5415394013439218,0.9572768143982918,0.0060650620768867,0.0700795339979836,1,Alto Rendimiento,1.7759475984070328,1.405236509977738,0.576317185166385,0.09517962754525476,0.8315822773567969,0.8290000862288119,0.5208022619210931,0.1
VOO,2.785095320623917,0.1078155267215017,0.0004669296647187,0.1741561572059231,0.142875827849611,-0.3430142802006947,-0.0168180385143003,-0.0267773663097659,0.3885379454550013,0.4736019838173894,0.3430360842128266,0.9992080366664152,0.0004876446908901,0.9913547264718626,0.9956679800374534,-0.5058755375932456,13.121337340596977,0.5404580152671755,0.9553566492977604,0.0060292512874791,0.0704308189972062,1,Alto Rendimiento,1.776522532082222,1.399624581249248,0.5762677679780351,0.09522581183402413,0.8317729293929623,0.8279336066966044,0.5206141230907848,0.1
ECL,2.9464783127735776,0.1114150923502377,0.0005327869512418,0.2393370866736019,0.1838803534583905,-0.4426528620528705,-0.0213154088245883,-0.0349152239883326,0.3520654190457652,0.4582453216351993,0.3033128738629911,1.00525598211985,0.0163590797656229,0.5314254169437961,0.728989311954432,0.4008976643485308,21.336607572636336,0.5293219303604154,0.9823806325356212,0.0079419174918105,0.0630828598992387,1,Alto Rendimiento,0.7858456412354198,0.8212348005921728,0.5796297826840876,0.09425975787328841,0.8232263411976152,0.8291465880504886,0.5204616200911572,0.1
AMD,53.79925650557621,0.5614875393477474,0.0024609952519444,0.5972429313439714,0.3764264556525134,-0.6544994132542771,-0.0531735506402961,-0.0769449853684599,0.9546714972531346,1.51469376003778,0.9475498234695288,1.6251808241385282,0.4726276658828523,0.2446381285170595,0.4946090663514565,1.342589999539003,18.70901392385003,0.5068493150684932,1.1331937609256764,0.0145641925318182,0.2727508202383009,-1,Outliers,-6.317127114105862,2.9277816746647782,1.0,0.12182531190324443,0.9644347109349889,0.9534792692837892,0.7219086540679795,0.1
NVDA,129.31578947368422,0.4545938830760183,0.0019081847234918,0.4623578315664552,0.308142239935583,-0.6635710005991612,-0.0421398474912484,-0.0614009140026136,0.931881155468253,1.398258643183797,0.7246587778636451,1.622745840227263,0.3212489900523175,0.3710680505893998,0.6091535525541978,0.6539642331914702,8.187315926495911,0.4239462431276726,1.0346382375705003,0.0114823708769387,0.1676491393539261,-1,Outliers,-4.431531895701035,2.904595903134988,0.9001607189766766,0.10800733962759355,0.9590942619657814,0.9529909067309003,0.6819207741711621,0.1
CARR,3.787500000000001,0.5130033482352021,0.0019575196019813,0.400647529722619,0.2561720506467265,-0.4159807956104252,-0.0349253597265749,-0.0513948143023395,1.106446207234122,1.730457864471081,1.1858598880158235,0.9844913588720824,0.2956544948114704,0.237318702208054,0.4871536741194241,1.5254867563123566,17.98511838141146,0.5304621848739496,1.1060544025630863,0.0095498946673488,0.1480815347721822,-1,Outliers,-2.979000000981661,4.529509797700598,0.954715490605272,0.10543473931010773,1.0,0.8249820166247215,0.6807772468298219,0.1
URI,24.238556338028168,0.281988258992045,0.0013892192421081,0.4496207144866311,0.3230837200401417,-0.6358595194085027,-0.0413981561044397,-0.0641283963342375,0.667414198996311,0.928809563582962,0.5505669701019854,1.701160424632124,0.1851729247276827,0.4312279570749989,0.6566794934174501,-0.1262380467438834,5.385671479508085,0.5271838729383018,1.0235817508628826,0.0111175375154996,0.2781579475291442,2,Moderado,-3.675497123384316,1.2154245433145583,0.7389460874430782,0.12253620001052394,0.8971218572334867,0.9687178059709819,0.623703830387454,0.1
EPAM,20.238571428571426,0.2934190414007109,0.0014187158588897,0.4383351216432149,0.3625511021333621,-0.7563729111207126,-0.0369390224516498,-0.0608203788755846,0.701555456672978,0.8482015214701872,0.472672131938836,1.3445115812441848,0.2131274127635981,0.2677921200512753,0.5174863476955458,-1.208251870741264,36.71715150644471,0.5364304812834224,1.0088629707278367,0.0150505437789527,0.3122958778356428,2,Moderado,-3.21803981021676,0.9890940183534186,0.7496225030230089,0.1270243963034286,0.9051221604359492,0.8971879946913076,0.6156811179527356,0.1
